timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,kalshi_btc_60_sma,kalshi_btc_60_sma_sample_count,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-17T17:45:16.492Z,2026-05-17T17:45:15.678Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,4341.76,2750.36,557,1161.04,2026-05-17T17:45:15.730Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.51,0.52,0.48,0.49,0.515,0.51,51.568624,,90.85,114.84,2026-05-17T17:45:15.730Z,BRTI,78014.91,78019.51,77996.79167,60,Polymarket RTDS,78019.32165,78015.85674,1.01,1.01,
2026-05-17T17:45:18.159Z,2026-05-17T17:45:17.668Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.54,0.55,0.45,0.46,0.545,0.51,4341.76,2750.36,1116.9,1010,2026-05-17T17:45:17.719Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.54,0.55,0.45,0.46,0.545,0.51,51.568624,,50,32.8,2026-05-17T17:45:17.719Z,BRTI,78001.54,78019.51,78008.225,2,Polymarket RTDS,78020.93693,78015.85674,1.01,1.01,
2026-05-17T17:45:20.180Z,2026-05-17T17:45:19.676Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.45,0.46,0.54,0.55,0.455,0.51,4341.76,2750.36,2431,125,2026-05-17T17:45:19.721Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.54,0.55,0.45,0.46,0.545,0.51,51.568624,,38,83.54,2026-05-17T17:45:19.722Z,BRTI,78024.24,78019.51,78013.56333,3,Polymarket RTDS,78016.4583,78015.85674,0.92,1.1,
2026-05-17T17:45:22.301Z,2026-05-17T17:45:21.682Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.44,0.46,0.54,0.56,0.45,0.51,4341.76,2750.36,410,2200.36,2026-05-17T17:45:21.736Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.49,0.52,0.48,0.51,0.505,0.51,51.568624,,61.21,40,2026-05-17T17:45:21.736Z,BRTI,78017.64,78019.51,78014.5825,4,Polymarket RTDS,78012.30808,78015.85674,0.97,1.08,
2026-05-17T17:45:24.176Z,2026-05-17T17:45:23.658Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.44,0.45,0.55,0.56,0.445,0.51,4341.76,2750.36,2,1200.65,2026-05-17T17:45:23.710Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.46,0.47,0.53,0.54,0.465,0.51,67.728624,,12.8,74.85,2026-05-17T17:45:23.710Z,BRTI,78024.25,78019.51,78016.516,5,Polymarket RTDS,78010.22968,78015.85674,0.99,1.03,
2026-05-17T17:45:26.329Z,2026-05-17T17:45:25.684Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.43,0.44,0.56,0.57,0.435,0.51,4341.76,2750.36,1683.63,145.74,2026-05-17T17:45:25.737Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.46,0.47,0.53,0.54,0.465,0.51,67.728624,,2.47,88.85,2026-05-17T17:45:25.737Z,BRTI,78017.64,78019.51,78016.70333,6,Polymarket RTDS,78009.79735,78015.85674,0.98,1.04,
2026-05-17T17:45:28.201Z,2026-05-17T17:45:27.684Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.43,0.44,0.56,0.57,0.435,0.51,4341.76,2750.36,3,317.83,2026-05-17T17:45:27.736Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.44,0.46,0.54,0.56,0.45,0.51,67.728624,,5,157.67,2026-05-17T17:45:27.736Z,BRTI,78014.91,78019.51,78016.44714,7,Polymarket RTDS,78008.31535,78015.85674,1,1.03,
2026-05-17T17:45:30.199Z,2026-05-17T17:45:29.667Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.43,0.45,0.55,0.57,0.44,0.51,4341.76,2750.36,1261.57,976,2026-05-17T17:45:29.714Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.43,0.44,0.56,0.57,0.435,0.51,67.728624,,216.12,77,2026-05-17T17:45:29.714Z,BRTI,78024.25,78019.51,78017.4225,8,Polymarket RTDS,78007.72266,78015.85674,1.02,1.01,
2026-05-17T17:45:32.191Z,2026-05-17T17:45:31.676Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.43,0.44,0.56,0.57,0.435,0.51,4341.76,2750.36,1646.46,173,2026-05-17T17:45:31.734Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.43,0.44,0.56,0.57,0.435,0.51,67.728624,,175.34,148.69,2026-05-17T17:45:31.734Z,BRTI,78023.4,78019.51,78018.08667,9,Polymarket RTDS,78007.64612,78015.85674,1.01,1.01,
2026-05-17T17:45:34.185Z,2026-05-17T17:45:33.675Z,KXBTC15M-26MAY171400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY171400,2026-05-17T18:00:00Z,active,0.44,0.46,0.54,0.56,0.45,0.51,4341.76,2750.36,1357,1143.15,2026-05-17T17:45:33.727Z,btc-updown-15m-1779039900,"Bitcoin Up or Down - May 17, 1:45PM-2:00PM ET",btc-updown-15m-1779039900,2026-05-17T18:00:00Z,,0.43,0.44,0.56,0.57,0.435,0.51,67.728624,,227.57,49.72,2026-05-17T17:45:33.727Z,BRTI,78015.31,78019.51,78017.809,10,Polymarket RTDS,78006.22656,78015.85674,1.03,1,
